SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0.0106464,80,0,19.0,1159.0,9,0,0,0,0.0
1,0.0,46,0,0.152522402,32250.0,12,0,3,0,2.0
1,0.275920196,44,0,0.188043142,42000.0,19,0,4,0,0.0
1,0.9999998999999999,36,0,0.083277815,1500.0,0,0,0,0,0.0
1,0.022529692999999996,41,0,2936.0,8311.0,4,0,2,0,3.0
1,0.9999998999999999,49,1,0.252332297,2250.0,1,0,0,0,0.0
1,0.8469831329999999,37,1,0.097513089,4583.0,8,0,0,0,0.0
1,0.874251497,47,2,0.026752351,55396.0,4,1,1,0,1.0
1,0.050314705999999994,60,1,0.35736613899999997,9916.0,14,0,1,0,0.0
1,0.921078921,25,0,0.010461062,2580.0,1,0,0,0,0.0
1,0.045524652,56,0,0.588912887,12500.0,10,0,6,0,0.0
1,0.906952612,54,0,0.413842906,9000.0,8,0,1,0,2.0
1,0.9999998999999999,32,0,4640.0,2554.0,8,0,1,0,0.0
1,0.0,69,0,0.0,1500.0,1,0,0,0,0.0
1,0.262808838,46,0,0.030982773999999998,8068.0,6,0,0,0,3.0
1,0.44569374700000003,48,0,307.0,1159.0,5,0,0,0,1.0
1,0.080427037,57,0,0.020236272,9141.0,11,0,0,0,0.0
1,0.15457689300000002,40,0,0.44297771,4620.0,4,0,1,0,2.0
1,0.271847359,37,0,4501.0,8311.0,19,0,2,0,2.0
1,0.09324005099999999,62,0,0.162722889,8916.0,6,0,2,0,0.0
0,0.120186661,74,1,0.079684764,2283.0,3,2,0,0,1.0
1,0.06455638,49,0,0.604047891,3507.0,19,0,1,0,2.0
1,0.514196774,35,0,0.032593481,5000.0,2,0,0,1,0.0
1,0.022883505,44,0,0.076769248,9000.0,8,0,1,0,0.0
0,0.0,29,1,0.112221717,2200.0,5,0,0,0,0.0
1,1.093178037,54,1,256.0,2554.0,3,0,1,0,0.0
1,0.47989581200000003,53,1,2754.0,2554.0,8,0,1,0,0.0
0,0.33423516600000003,42,0,0.367726455,5000.0,11,0,1,0,0.0
1,0.9963016509999999,39,2,0.306101912,10930.0,17,0,0,0,1.0
1,0.064501603,48,0,0.313195393,10245.0,9,0,2,0,2.0
1,0.2221524,31,0,713.0,1159.0,9,0,0,0,0.0
1,0.0016114279999999998,58,0,742.0,2554.0,5,0,1,0,0.0
1,0.785369105,31,2,0.409244869,5018.0,7,0,1,0,4.0
1,0.000291949,60,0,0.518683579,2916.0,17,0,1,0,0.0
1,0.0,60,0,0.420739591,11600.0,10,0,4,0,0.0
1,0.135045802,70,0,1.4256285969999998,3300.0,11,0,1,0,0.0
1,0.948810238,46,0,0.44365563399999997,10000.0,6,0,2,0,2.0
1,0.616067812,38,0,0.240069686,2869.0,8,0,0,2,1.0
1,0.050220972,76,0,0.008878128,3716.0,4,0,0,0,0.0
1,0.250273796,62,0,0.405388339,4750.0,2,0,1,0,1.0
1,0.056749408,63,0,0.247986331,4096.0,9,0,1,0,0.0
1,0.208947427,55,0,0.159210317,6280.0,3,0,1,0,0.0
1,0.086012935,56,0,0.44548725200000006,6392.0,9,0,1,0,0.0
0,1.007090265,66,6,0.41943662,3549.0,8,2,0,1,0.0
1,0.014088028,51,0,0.007997715,3500.0,6,0,0,0,1.0
1,0.006924726,32,0,0.088306494,9500.0,6,0,1,0,0.0
1,0.019228022,40,0,0.468118582,12075.0,6,0,2,0,2.0
1,0.052175752,78,0,0.054111032999999996,5691.0,11,0,1,0,0.0
1,0.033511799,85,0,0.22963620199999998,5634.0,11,0,1,0,0.0
1,0.002879885,30,0,0.234848485,18083.0,12,0,5,0,0.0
1,0.659567363,40,0,0.642590775,5094.0,14,0,2,0,2.0
1,0.006515709000000001,71,0,0.085396427,6381.0,2,0,0,0,1.0
1,1.139813582,39,2,0.480141964,5916.0,8,2,2,2,3.0
1,0.031592762999999996,79,0,429.0,1.0,4,0,1,0,0.0
1,0.053834571,69,0,0.011903618999999999,10416.0,11,0,0,0,0.0
1,0.053264109000000004,39,0,0.33090726600000003,7968.0,8,0,1,0,3.0
1,0.49070964899999997,40,0,0.409530157,3000.0,4,0,1,0,3.0
1,0.02249775,49,0,0.25332081,7452.0,5,0,2,0,1.0
1,0.0,91,0,5208.0,2554.0,4,0,1,0,0.0
1,0.45317572799999994,51,0,0.74185163,5000.0,16,0,3,0,0.0
1,0.5080326039999999,53,0,0.279972003,10000.0,14,0,2,0,0.0
1,0.0,63,0,0.33960599799999996,3400.0,8,0,2,0,0.0
1,0.007203135,66,0,419.0,1159.0,10,0,0,0,0.0
1,0.031034246,56,0,0.199175052,16000.0,9,0,2,0,2.0
1,0.6293973429999999,40,0,0.46786952299999995,11250.0,12,0,1,0,2.0
1,0.037326489,39,0,0.255419002,29617.0,12,0,3,0,2.0
1,0.00039996,55,0,0.197973604,7500.0,8,0,1,0,2.0
1,0.9999998999999999,45,0,9260.0,0.0,7,0,4,0,4.0
1,0.19083189600000003,52,0,0.310817425,14300.0,17,0,1,0,1.0
1,0.788701555,39,0,0.188765182,1975.0,10,1,0,0,0.0
1,0.262355545,42,0,0.027420737,3500.0,6,0,0,0,0.0
1,0.47802372600000004,43,0,0.162941961,5995.0,3,1,1,0,2.0
1,0.9999998999999999,39,0,0.001850995,2160.0,1,0,0,0,1.0
0,1.027638894,54,4,1.055991041,6250.0,17,1,2,0,0.0
1,0.50896598,46,0,0.398671096,3611.0,6,0,1,0,2.0
0,0.559053454,75,0,2.314423657,1656.0,17,0,2,1,0.0
1,0.9999998999999999,29,0,0.065894115,4400.0,1,0,0,0,4.0
1,0.0,60,0,0.44384931299999997,5600.0,9,0,1,0,0.0
1,0.032138504,50,0,0.360565785,8200.0,7,0,2,0,2.0
1,0.142444176,60,0,0.21344512,13000.0,10,0,3,0,1.0
1,0.6209485,51,0,0.571685663,5000.0,14,0,2,0,0.0
1,0.866345575,44,0,2801.0,1159.0,10,0,0,0,0.0
1,0.9579320709999999,40,0,0.7551307509999999,12083.0,15,0,5,0,0.0
1,0.012095516,58,0,0.521770748,11000.0,11,0,2,0,0.0
1,0.01820662,54,0,0.119704571,7175.0,6,0,1,0,0.0
1,0.0,30,0,0.275177026,5083.0,15,0,0,0,0.0
1,0.35095135200000005,36,0,0.258046302,5312.0,12,0,0,0,0.0
1,0.8754163890000001,33,0,0.6936653009999999,3172.0,4,0,1,0,2.0
1,0.23507236199999998,62,0,0.597419929,4495.0,7,0,2,0,0.0
1,0.343796874,42,0,2020.0,2554.0,9,0,1,0,1.0
1,0.133385309,30,0,0.366782007,2311.0,4,0,0,0,0.0
1,0.018398773,56,0,6814.0,8311.0,8,0,2,0,0.0
1,0.769567255,31,1,0.292387543,1733.0,6,0,0,1,1.0
1,0.377672261,63,1,857.0,2554.0,5,0,1,0,1.0
1,0.386939695,65,0,0.35878639799999995,9821.0,13,0,1,0,1.0
1,0.38458676299999994,55,0,0.246641075,2083.0,3,0,0,0,3.0
1,0.9999998999999999,35,0,0.0,5894.0,0,0,0,0,3.0
1,0.336482891,30,0,0.17586912100000002,4400.0,4,0,0,0,0.0
1,0.040294421000000004,48,0,0.265576393,11250.0,5,0,1,0,0.0
1,0.258608177,33,0,2626.0,2554.0,8,0,1,0,0.0
0,0.057911027000000004,33,0,93.0,1159.0,4,0,0,0,0.0
1,0.006603678000000001,45,0,0.258353065,3800.0,10,0,1,0,2.0
1,0.687237804,49,2,0.551604236,6326.0,25,0,1,0,0.0
1,0.000407221,74,0,1.0,2430.0,5,0,0,0,0.0
1,0.335445712,40,0,0.34467983799999996,4200.0,6,0,2,1,0.0
1,0.001346024,66,0,0.0,2150.0,2,0,0,0,1.0
1,0.9999998999999999,61,0,0.29117959600000004,940.0,2,0,0,0,0.0
1,0.9999998999999999,57,0,0.002352326,3825.0,1,0,0,0,0.0
1,0.680340449,33,0,0.38340414899999997,4000.0,6,0,0,0,3.0
1,0.055796272,64,0,3880.0,8311.0,18,0,2,0,0.0
0,0.270057665,74,1,0.524914005,10174.0,10,0,2,0,0.0
1,0.07174121900000001,51,0,0.511835876,1900.0,11,0,1,0,0.0
1,0.0,46,0,0.054350160999999994,4654.0,4,0,0,0,1.0
1,0.10565788699999999,50,0,0.293395022,6267.0,4,0,2,0,0.0
1,0.127073412,42,0,0.44039551200000004,9000.0,5,0,2,0,3.0
1,0.313015935,54,3,0.278201615,13500.0,17,0,1,0,0.0
1,0.079563583,52,0,0.428183701,14000.0,12,0,2,0,2.0
1,0.08022587,73,0,0.149929279,4241.0,6,0,0,0,0.0
1,0.8738708709999999,78,1,0.196450887,4000.0,2,0,0,0,0.0
0,2.020881671,53,6,0.110772596,12800.0,4,1,0,1,0.0
0,0.496255115,64,0,251.0,1159.0,6,0,0,0,0.0
1,0.09665202199999999,59,0,2986.0,2554.0,8,0,1,0,0.0
1,0.096112098,51,1,0.421094732,8750.0,12,0,1,0,0.0
1,0.151777921,58,0,0.492140801,9033.0,25,0,2,0,1.0
1,0.9999998999999999,34,0,0.60068673,4950.0,4,0,1,0,0.0
1,0.039098045,64,1,0.047147572,2120.0,6,0,0,0,0.0
1,0.929255895,40,2,0.558411215,2567.0,9,0,1,0,4.0
1,0.019955992,61,0,0.273546389,7102.0,6,0,1,0,0.0
1,0.9999998999999999,44,0,0.512361915,1900.0,3,0,1,0,1.0
1,0.9999998999999999,33,0,0.190904548,2000.0,2,0,0,0,2.0
1,0.154955579,62,1,2446.0,2554.0,4,1,1,0,0.0
1,0.9768474,65,0,0.333129273,9800.0,8,0,2,0,0.0
1,0.017246807,84,0,0.014819805,5937.0,20,0,0,0,0.0
1,0.010865942,64,0,0.351459416,2500.0,5,0,1,0,0.0
1,0.20277924600000002,70,0,0.476210504,19020.0,18,0,2,0,0.0
1,0.599253433,54,0,0.285645122,4130.0,6,0,3,0,2.0
1,0.180104655,34,0,0.076153974,6000.0,4,0,0,0,0.0
1,0.066687178,42,0,0.318460192,8000.0,4,0,1,0,2.0
1,0.910920809,56,3,0.124980374,12737.0,13,1,0,0,1.0
1,0.10873664400000001,40,0,0.34166572,8800.0,8,0,2,0,2.0
1,0.903123346,47,0,0.342544069,8395.0,8,0,2,0,0.0
1,0.01702853,68,0,0.00329373,8500.0,8,0,0,0,1.0
1,0.189209442,63,0,0.444828213,5500.0,14,0,1,0,0.0
1,0.043218438,68,0,0.580691991,8265.0,7,0,2,0,0.0
1,0.9485268020000001,41,0,0.618485237,3894.0,10,0,1,0,1.0
1,0.104059729,71,0,0.324566738,6577.0,11,0,5,0,0.0
1,0.9555797709999999,51,0,0.530306186,4800.0,7,0,2,0,3.0
1,0.072656388,28,0,0.270560191,7550.0,7,0,1,0,2.0
1,0.017999581,71,0,0.005498625,4000.0,10,0,0,0,0.0
1,0.35215575600000004,30,0,0.7843676359999999,2545.0,4,0,1,0,3.0
1,0.334568555,58,1,0.655367232,6194.0,16,0,2,0,0.0
1,0.0,51,0,30.0,1159.0,3,0,0,0,0.0
1,0.6496650039999999,56,2,0.338394971,12248.0,12,0,2,0,1.0
1,0.6157125689999999,43,0,0.065057992,7500.0,10,1,0,0,0.0
1,0.066207509,41,0,0.077813309,6566.0,10,0,0,0,3.0
1,0.045546918,75,0,0.013662113,3000.0,3,0,0,0,0.0
1,0.248923507,56,0,0.28478239699999996,10270.0,15,0,2,0,0.0
0,0.936288089,34,3,1.099345628,1680.0,9,0,1,0,4.0
1,0.9999998999999999,50,0,0.263974721,50000.0,14,0,5,0,4.0
1,0.005349911,59,0,0.208146873,8714.0,7,0,1,0,4.0
0,0.9999998999999999,34,1,0.267933017,4000.0,1,5,0,0,0.0
0,0.9999998999999999,32,0,0.012254112,3100.0,1,0,0,0,0.0
1,0.883599294,36,0,0.47825083700000004,17333.0,12,0,2,0,0.0
1,0.067540927,38,0,0.257717785,8000.0,4,0,1,0,2.0
1,0.11924403800000001,61,0,3475.0,2554.0,5,0,1,0,0.0
1,0.44954701700000005,66,0,0.91928934,3939.0,6,0,2,0,0.0
0,1.013289037,38,0,0.002367798,3800.0,1,0,0,0,0.0
1,0.0,44,0,0.23696614800000002,7000.0,5,0,1,0,2.0
1,0.590771529,51,1,2.7967344219999997,3000.0,22,0,4,0,4.0
1,0.368342403,70,0,0.189680635,10833.0,18,0,0,0,0.0
1,0.07714102,80,0,0.16008825699999998,8157.0,10,0,1,0,0.0
1,0.111813248,44,0,0.19335250899999998,6257.0,9,0,0,0,2.0
0,0.574322369,32,0,0.460269865,2000.0,8,0,0,0,1.0
1,0.0,47,0,0.593101725,4000.0,17,0,2,0,1.0
1,0.037669883,71,0,0.104289571,10000.0,12,0,1,0,0.0
0,0.0,41,0,925.0,8311.0,3,2,2,0,0.0
1,0.051112825,65,0,76.0,1159.0,6,0,0,0,0.0
1,0.944801236,34,1,1221.0,1159.0,8,0,0,0,0.0
1,0.0068094159999999996,74,0,1863.0,2554.0,7,0,1,0,0.0
1,0.16335480900000002,40,0,0.75651553,2800.0,19,0,1,0,1.0
1,0.520590996,50,0,0.43562992100000003,10159.0,7,0,3,0,5.0
1,0.168034242,63,0,3770.0,2554.0,13,0,1,0,0.0
1,0.489012775,62,0,2439.0,1159.0,6,0,0,0,0.0
1,0.149905756,55,0,0.40800037100000003,21548.0,14,0,5,0,2.0
1,0.48630441399999996,73,0,0.558356761,11026.0,7,0,2,0,0.0
1,0.094707521,31,0,0.24870052,2500.0,12,0,0,0,0.0
1,0.0,68,0,0.057356607999999996,400.0,5,0,0,0,0.0
1,0.030815542,54,0,0.080965517,7249.0,16,0,1,0,2.0
1,0.20806914,56,0,0.172187468,9750.0,14,0,2,0,0.0
1,0.731895289,43,0,0.8091993190000001,4695.0,11,0,2,0,2.0
1,0.021216722,45,0,0.292518862,11000.0,13,0,1,0,0.0
1,0.1337797,38,0,0.363370628,9920.0,9,0,2,0,4.0
1,0.170665445,38,1,0.155162469,5200.0,10,0,0,0,0.0
1,0.913343837,34,0,0.37020993,3000.0,5,0,0,0,0.0
1,0.04394304,51,0,0.346307651,3750.0,9,0,1,0,0.0
1,0.052909294,42,0,0.811396201,3000.0,7,0,2,0,1.0
1,0.007480168000000001,73,0,0.0043823609999999995,3650.0,12,0,0,0,0.0
1,0.154470979,68,0,0.19851224399999998,55250.0,14,0,5,0,0.0
1,0.09614995300000001,38,0,0.14051459800000002,7500.0,4,0,0,0,1.0
0,0.9999998999999999,66,1,0.18722139699999998,3364.0,1,3,0,0,3.0
1,0.252349948,62,0,0.115994845,22500.0,12,0,1,0,1.0
1,0.025522594,36,0,1650.0,2554.0,4,0,1,0,1.0
1,0.30084661,56,0,0.29904859899999997,11666.0,5,0,2,0,0.0
1,0.767440928,49,1,1.209263259,8333.0,16,0,3,0,2.0
1,0.608371836,33,0,0.131317623,6746.0,11,0,0,0,1.0
1,0.09284487400000001,34,2,0.648957441,3500.0,12,0,2,0,2.0
1,0.425471819,53,0,0.32498916699999997,30000.0,11,0,2,0,0.0
1,0.029433503,69,1,4037.0,8311.0,7,0,2,0,0.0
0,1.219390305,58,2,0.28101945,8945.0,7,2,1,0,0.0
1,0.179413254,59,0,0.273821267,10137.0,10,0,1,0,0.0
1,0.066327435,36,0,0.273671044,7994.0,5,0,1,0,2.0
1,0.475454545,40,3,2648.0,2554.0,5,1,1,0,2.0
1,0.438891355,54,0,0.598320084,6666.0,12,0,2,0,0.0
1,0.244190598,56,0,0.627524015,5100.0,4,0,2,0,1.0
1,0.12293853099999999,72,1,0.241630056,6600.0,6,0,0,1,0.0
1,0.248072997,47,0,0.20127359600000003,4396.0,8,0,0,0,1.0
1,0.193935587,42,0,0.256306898,22078.0,10,0,2,0,2.0
1,0.044645172999999996,46,0,0.204909919,5050.0,12,0,2,0,2.0
1,0.016231853,54,0,3788.0,2554.0,7,0,1,0,2.0
1,0.052147498,50,1,0.491637631,2869.0,6,0,1,0,1.0
1,0.024876835,74,0,0.003749063,4000.0,2,0,0,0,0.0
1,0.815789474,56,0,42.0,1159.0,2,1,0,0,0.0
1,0.0,63,0,0.029291056,48000.0,9,0,1,0,1.0
1,0.088324973,52,0,0.35604064700000004,5313.0,10,0,1,0,2.0
1,0.029657244,70,0,1961.0,2554.0,14,0,1,0,0.0
1,0.9999998999999999,50,0,0.176126035,4950.0,3,0,1,0,0.0
1,0.016016969,59,0,0.32299402899999996,6866.0,10,0,3,0,1.0
1,0.448398759,44,0,0.34816319,5416.0,8,0,2,0,1.0
1,0.156562292,50,0,2.1755368809999998,1070.0,4,0,1,0,1.0
1,0.393887461,35,1,748.0,2554.0,3,0,1,0,0.0
1,1.047583781,52,1,0.41899441299999995,3400.0,11,0,1,1,0.0
1,0.722134512,25,0,0.34475374700000005,1400.0,3,1,0,1,0.0
1,0.418009291,60,0,0.266346731,5000.0,13,0,1,0,0.0
1,0.368678061,34,0,0.458308338,5000.0,8,0,2,0,0.0
1,0.07039085099999999,49,0,0.27298140000000004,9300.0,13,0,2,0,3.0
1,0.088536546,80,1,0.26297577899999997,2600.0,17,0,1,0,0.0
1,0.092313986,70,0,0.14295082,9149.0,9,0,1,0,0.0
1,0.017076898,72,0,16.5,1.0,7,0,1,0,0.0
1,0.22455508899999999,44,0,0.172716066,7300.0,3,0,1,0,3.0
1,0.0,50,0,0.32933413300000003,3333.0,7,0,2,0,1.0
0,0.0,82,5,2146.0,2554.0,5,1,1,1,0.0
1,0.005063163,52,0,0.295592505,3788.0,6,0,1,0,1.0
1,0.557846744,47,0,0.317812232,19800.0,13,0,1,0,5.0
1,0.670534986,49,0,0.367733333,3749.0,13,0,1,0,3.0
1,0.030437707999999997,66,0,0.20797689100000002,9000.0,12,0,1,0,0.0
1,0.0,86,0,0.0,5356.0,6,0,0,0,0.0
1,0.192085096,61,0,0.362802768,5779.0,12,0,1,0,0.0
1,0.14585019800000001,30,0,0.40889457700000004,6250.0,9,0,2,0,0.0
1,1.012931609,61,0,0.056992876,8000.0,2,1,0,0,1.0
1,0.722863857,47,0,0.40144734299999996,5250.0,2,0,1,0,0.0
1,0.412811866,75,0,0.8335941579999999,3833.0,10,0,2,0,1.0
1,0.0018845429999999998,63,0,3069.0,2554.0,8,0,1,0,0.0
1,0.034438284,62,0,1138.0,8311.0,13,0,2,0,1.0
1,0.023548922000000003,70,0,0.076468908,10500.0,13,0,1,0,0.0
1,0.24135173,62,0,0.224943764,4000.0,7,0,1,0,0.0
1,0.5669729929999999,46,0,12060.0,8311.0,18,0,4,0,0.0
1,0.035202477999999995,55,0,0.203277703,6650.0,7,0,1,0,0.0
1,0.0,77,0,0.12450018199999999,5501.0,5,0,1,0,1.0
1,0.178612419,42,0,0.9777555609999999,4000.0,8,0,2,0,4.0
1,0.263048379,67,0,0.954204829,1200.0,3,0,1,0,1.0
1,0.18447270000000002,56,0,0.376834382,1907.0,11,0,0,0,4.0
1,0.010553042,77,0,0.191386736,5804.0,10,0,2,0,0.0
1,0.030266716000000003,65,0,0.11237025,10500.0,13,0,1,1,1.0
1,0.044789163,41,0,1837.0,2554.0,4,0,1,0,0.0
1,0.8365608929999999,47,0,0.480676793,5200.0,13,0,0,0,4.0
1,0.9999998999999999,36,0,0.0062284869999999996,6100.0,0,1,0,0,2.0
1,0.18157579,35,0,0.747626187,2000.0,4,0,1,0,2.0
1,0.027972947999999997,35,0,0.232953038,3768.0,4,0,0,0,0.0
0,0.710644678,38,1,1651.0,2554.0,12,6,1,0,0.0
1,0.042162894000000006,58,1,0.372719481,8166.0,23,0,2,0,0.0
1,0.308657732,44,0,0.490218809,6900.0,6,0,2,0,4.0
1,0.010482788,50,0,0.22111127,7000.0,19,0,2,0,2.0
1,0.063953092,69,0,2991.0,2554.0,11,0,1,0,0.0
1,0.14907098800000002,64,0,0.502824859,1592.0,12,0,0,0,0.0
1,0.473450425,73,0,0.13248221,14333.0,10,0,0,0,0.0
1,0.9762421090000001,40,0,0.636030122,5178.0,9,0,1,0,3.0
1,0.031214837999999998,58,0,0.355076276,1900.0,6,0,1,0,0.0
1,0.8151986179999999,83,0,0.178109453,3014.0,3,0,0,0,0.0
1,0.787410629,46,1,0.508108108,2959.0,6,0,0,0,0.0
1,0.135187229,59,0,0.642991435,4786.0,13,0,1,0,1.0
1,0.6924875009999999,40,0,0.45448728200000005,6250.0,9,0,2,0,1.0
1,0.32740131,56,0,0.493223728,4500.0,18,0,2,0,2.0
1,0.400974344,48,2,0.529996572,5833.0,12,0,1,0,3.0
1,0.0,62,0,1738.0,2554.0,6,0,1,0,0.0
1,0.013473296000000001,64,0,0.24107362699999998,4060.0,12,0,1,0,0.0
1,0.472767272,30,0,0.28542944800000003,6519.0,10,0,0,0,1.0
1,0.058193216,46,0,0.206684759,7000.0,8,0,1,0,0.0
1,0.9999998999999999,37,0,0.077200807,9416.0,3,0,0,0,0.0
1,0.363342031,58,0,1.020408163,2400.0,10,0,1,0,0.0
1,0.029917177000000003,47,1,0.261343805,6875.0,9,0,1,0,0.0
1,0.057479353,40,0,0.23848609199999998,4385.0,11,0,1,0,0.0
1,0.014422768999999998,39,1,260.0,2554.0,7,0,1,0,2.0
1,0.07043172,84,0,0.019192323,2500.0,1,0,0,0,0.0
1,0.021513305,64,0,0.24750100000000003,2500.0,16,0,0,0,2.0
0,0.145817572,45,0,0.325558147,3000.0,9,0,1,0,0.0
1,0.31088639100000004,59,0,0.375789284,5542.0,9,0,1,0,0.0
1,1.496493864,48,0,0.466785159,4500.0,18,0,1,0,0.0
1,0.33982640700000005,38,0,891.0,1159.0,8,0,0,0,1.0
0,0.314595927,63,1,0.338830585,3334.0,11,0,1,0,1.0
1,0.18359768199999998,45,0,0.041121182,5957.0,5,0,0,0,4.0
1,0.01366287,53,0,0.00189981,10000.0,10,0,0,0,0.0
1,0.292004355,46,0,0.275431142,4000.0,8,0,0,0,3.0
1,0.087387113,60,0,0.302656384,5834.0,12,0,1,0,0.0
1,0.9911030000000001,48,0,0.213407638,6100.0,7,0,0,0,2.0
1,0.793600144,52,1,6623.0,8311.0,10,0,2,0,0.0
1,0.9999998999999999,46,0,0.20726519,9166.0,3,0,2,0,0.0
1,0.027094592999999997,64,0,0.002956265,11500.0,3,0,0,0,0.0
1,0.936377087,51,2,0.630582668,3380.0,7,0,1,1,0.0
1,0.043679613,39,0,0.11721159800000001,3241.0,5,0,0,0,2.0
1,0.074979825,59,0,130.0,1159.0,6,0,0,0,0.0
1,0.37459760799999997,57,0,0.283233858,11057.0,13,0,2,0,1.0
1,0.119162216,48,0,0.5679586560000001,3869.0,8,0,2,0,0.0
1,0.9999998999999999,35,0,1.069588866,6250.0,7,0,4,0,2.0
1,0.04559886,60,0,0.017292974,37760.0,3,0,1,0,0.0
1,0.009797732,54,0,0.002291189,4800.0,5,0,0,0,0.0
1,0.368069325,46,0,0.345425617,6284.0,8,0,1,0,2.0
1,0.065221486,47,0,273.0,2554.0,7,0,1,0,0.0
1,0.9999998999999999,28,0,0.264779351,1200.0,5,0,0,0,0.0
1,0.11857784099999999,66,0,2977.0,8311.0,17,0,2,0,0.0
1,0.928433718,52,0,0.635571899,5166.0,13,0,2,0,2.0
1,0.538063435,45,0,0.344220265,17941.0,20,0,2,0,3.0
1,0.312479399,71,0,1.059274059,3002.0,14,0,1,0,0.0
